% Model:              6reg_allT_k_eps_result_new_kIn_epsIn_HOT_JET.mph
% Version:            COMSOL 6.2.0.290
% Date:               Sep 4 2026, 17:54
% Dimension:          2
% Nodes:              84581
% Expressions:        1
% Description:        Surface
% r                       z                        Temperature
0.007424999999999993      0                        422.89943904196696
0.007287499999999993      1.0571355183384451E-4    422.89944255296103
0.007424999999999992      1.057135518338445E-4     422.8994427611757
0.007287499999999992      2.1142710366768902E-4    422.8994460558993
0.007424999999999991      2.11427103667689E-4      422.89944647179215
0                         0.008414519400562634     422.89946759509354
1.374999999999994E-4      0.008414519400562632     422.89946824515795
2.749999999999988E-4      0.008414519400562632     422.89947003717367
0                         0.008629301316706375     422.8994683330418
1.374999999999994E-4      0.008629301316706375     422.89946898254425
2.749999999999988E-4      0.008629301316706375     422.8994707813974
0.007562499999999993      0                        422.89943904196696
0.007699999999999992      0                        422.89943904196696
0.007562499999999992      1.057135518338445E-4     422.8994429923111
0.007699999999999992      1.057135518338445E-4     422.89944324831725
0.007562499999999991      2.11427103667689E-4      422.89944693398274
0.007699999999999991      2.11427103667689E-4      422.89944743499865
0                         0.008849797052913664     422.89946908792547
1.374999999999994E-4      0.008849797052913664     422.89946973921036
2.749999999999988E-4      0.008849797052913666     422.8994715449557
0                         0.009070292789120953     422.89946984712316
1.374999999999994E-4      0.009070292789120953     422.8994704978225
2.749999999999988E-4      0.009070292789120955     422.89947231028
0.007837499999999992      0                        422.89943904196696
0.007974999999999993      0                        422.89943904196696
0.007837499999999992      1.057135518338445E-4     422.8994435303354
0.007974999999999993      1.057135518338445E-4     422.89944386785265
0.007837499999999992      2.11427103667689E-4      422.8994480060357
0.007974999999999994      2.11427103667689E-4      422.8994485401229
0                         0.009296654349528378     422.89947062374966
1.3749999999999938E-4     0.009296654349528378     422.8994712763713
2.7499999999999877E-4     0.00929665434952838      422.8994730956248
0                         0.009523015909935803     422.89947140486447
1.3749999999999936E-4     0.009523015909935803     422.8994720568962
2.749999999999987E-4      0.009523015909935803     422.8994738827615
0.008112499999999991      0                        422.89943904196696
0.008249999999999992      0                        422.89943904196696
0.008112499999999991      1.057135518338445E-4     422.89944417666464
0.00824999999999999       1.057135518338445E-4     422.8994447378185
0.008112499999999991      2.11427103667689E-4      422.8994491752233
0.00824999999999999       2.11427103667689E-4      422.89944843045464
0                         0.009755399342429544     422.89947220394504
1.3749999999999936E-4     0.009755399342429544     422.89947285803396
2.749999999999987E-4      0.009755399342429546     422.8994746906235
0                         0.009987782774923288     422.8994730077096
1.3749999999999936E-4     0.00998778277492329      422.8994736611863
2.749999999999987E-4      0.00998778277492329      422.89947550030325
0.008387499999999992      0                        422.89943904196696
0.008524999999999991      0                        422.89943904196696
0.008387499999999992      1.057135518338445E-4     422.89944420775095
0.008524999999999991      1.057135518338445E-4     422.89944464226966
0.00838749999999999       2.11427103667689E-4      422.8994463969965
0.008524999999999991      2.11427103667689E-4      422.89942135523137
0                         0.010226348278714551     422.89947382998093
1.3749999999999936E-4     0.010226348278714551     422.8994744856461
2.749999999999987E-4      0.010226348278714551     422.8994763314321
0                         0.010464913782505813     422.89947465715375
1.3749999999999936E-4     0.010464913782505813     422.8994753121664
2.749999999999987E-4      0.010464913782505815     422.89947716440867
0.008662499999999991      0                        422.89943904196696
0.008799999999999992      0                        422.89943904196696
0.008662499999999991      1.057135518338445E-4     422.8994258237563
0.008799999999999992      1.057135518338445E-4     422.8993910596129
0.008662499999999991      2.11427103667689E-4      422.89935678650374
0.008799999999999992      2.11427103667689E-4      422.8989277845845
0                         0.01070982581856807      422.89947550341316
1.3749999999999938E-4     0.01070982581856807      422.899476160713
2.7499999999999877E-4     0.01070982581856807      422.8994780195783
0                         0.01095473785463033      422.89947635477
1.3749999999999938E-4     0.010954737854630327     422.89947701136833
2.7499999999999877E-4     0.010954737854630327     422.89947887662987
0.00893749999999999       0                        422.89943904196696
0.009074999999999991      0                        422.89943904196696
0.00893749999999999       1.057135518338445E-4     422.89903845691674
0.00907499999999999       1.057135518338445E-4     422.89806534123966
0.00893749999999999       2.11427103667689E-4      422.89774960799684
0.00907499999999999       2.11427103667689E-4      422.8910578932216
0                         0.011206165259074533     422.89947722568473
1.3749999999999938E-4     0.011206165259074531     422.8994778847771
2.7499999999999877E-4     0.011206165259074531     422.89947975664086
0                         0.011457592663518736     422.8994781019854
1.3749999999999936E-4     0.011457592663518736     422.8994787603585
2.749999999999987E-4      0.011457592663518736     422.89948063856684
0.009212499999999992      0                        422.89943904196696
0.00934999999999999       0                        422.89943904196696
0.00921249999999999       1.0571355183384448E-4    422.8920891755825
0.00934999999999999       1.0571355183384447E-4    422.87180844394084
0.009212499999999988      2.1142710366768897E-4    422.8727282795317
0.009349999999999989      2.1142710366768894E-4    422.77532603033205
0                         0.011715708763984615     422.89947899864
1.3749999999999938E-4     0.011715708763984615     422.8994796594736
2.7499999999999877E-4     0.011715708763984617     422.89948154424695
0                         0.011973824864450495     422.8994799007807
1.374999999999994E-4      0.011973824864450495     422.89948056081977
