% Model:              turbulent flows.mph
% Version:            COMSOL 6.2.0.290
% Date:               Sep 4 2026, 17:57
% Dimension:          2
% Nodes:              14641
% Expressions:        1
% Description:        Surface
% r                       z                        tds.DiT_c/1e-9[m^2/s]
0.09421044303797471       0.0022222222222222188    6184.80095568505
0                         0.24423902894491134      223231.53637089572
5.0E-4                    0.24423902894491134      223587.8926792584
0.09655221518987345       0                        86853.31180027025
0.09655221518987345       0.0022222222222222188    6184.745349117004
0                         0.24799253034547153      223262.50433983537
5.0E-4                    0.24799253034547158      223646.8325166091
0.09891350210970466       0                        86853.31180026913
0.09891350210970465       0.0022222222222222188    6184.691977499529
0                         0.25176470588235295      223348.25759718477
4.999999999999999E-4      0.25176470588235295      223760.19844208178
0.10129430379746837       0                        86853.3118002687
0.10129430379746836       0.0022222222222222188    6184.64073104409
0                         0.2555555555555556       223510.50399012386
5.000000000000001E-4      0.25555555555555565      223945.62720676287
0.10369462025316456       0                        86853.31180026851
0.10369462025316459       0.0022222222222222188    6184.591506634561
0                         0.2593650793650794       223795.12312728143
5.000000000000001E-4      0.2593650793650794       224268.55065582236
0.10611445147679327       0                        86853.31180026848
0.10611445147679324       0.0022222222222222183    6184.544207315858
0                         0.2631932773109244       224193.49384557124
5.000000000000001E-4      0.2631932773109244       224837.773387741
0.10855379746835443       0                        86853.31180026844
0.10855379746835442       0.0022222222222222183    6184.498741811529
0                         0.2670401493930906       223766.20527126305
5.0E-4                    0.2670401493930906       225567.64157330865
0.1110126582278481        0                        86853.31180026842
0.11101265822784812       0.0022222222222222174    6184.455024127368
0                         0.270905695611578        224418.82232491634
5.0E-4                    0.27090569561157807      226322.65059805603
0.11349103375527428       0                        86853.31180026842
0.1134910337552743        0.002222222222222218     6184.412973163449
0                         0.2747899159663866       225901.4192103225
5.0E-4                    0.2747899159663866       227246.09398336094
0.11598892405063292       0                        86853.31180026842
0.11598892405063294       0.002222222222222218     6184.372512380844
0                         0.2786928104575163       226967.38107429503
4.999999999999999E-4      0.2786928104575163       228437.2636106847
0.11850632911392407       0                        86853.31180026842
0.11850632911392407       0.002222222222222218     6184.333569485101
0                         0.28261437908496734      228512.87564400965
4.999999999999999E-4      0.2826143790849674       230372.71513357278
0.1210432489451477        0                        86853.31180026842
0.12104324894514767       0.0022222222222222183    6184.296076133963
0                         0.28655462184873953      231355.6123959755
5.000000000000001E-4      0.28655462184873953      234488.35215688424
0.12359968354430381       0                        86853.31180026842
0.12359968354430378       0.0022222222222222174    6184.259967686854
0                         0.2905135387488329       236437.96634378037
4.999999999999999E-4      0.29051353874883296      245046.121908533
0.12617563291139242       0                        86853.31180026842
0.12617563291139242       0.0022222222222222174    6184.225182944941
0                         0.2944911297852475       249003.2989907479
5.0E-4                    0.2944911297852476       269369.3469090562
0.1287710970464135        0                        86853.31180026842
0.12877109704641349       0.0022222222222222174    6184.191663935785
0                         0.29848739495798327      279964.51299208886
5.000000000000002E-4      0.29848739495798327      317405.78897148365
0.1313860759493671        0                        86853.31180026842
0.1313860759493671        0.002222222222222217     6184.159355711902
0                         0.3025023342670402       344579.96316753235
5.000000000000002E-4      0.3025023342670403       399697.3647320618
0.13402056962025316       0                        86853.31180026842
0.13402056962025313       0.0022222222222222166    6184.128206154146
0                         0.3065359477124183       458616.58227483893
5.000000000000001E-4      0.30653594771241843      523433.7838299396
0.1366745780590717        0                        86853.31180026842
0.13667457805907174       0.002222222222222217     6184.098165802118
0                         0.31058823529411766      621880.002093384
5.000000000000001E-4      0.3105882352941178       685789.8095582683
0.13934810126582278       0                        86853.31180026842
0.13934810126582273       0.002222222222222217     6184.069187688388
0                         0.3146591970121382       816611.9445904889
5.000000000000001E-4      0.3146591970121383       877089.7124219663
0.14204113924050635       0                        86853.31180026842
0.14204113924050635       0.002222222222222217     6184.041227189493
0                         0.31874883286648         1032133.6512998994
5.0E-4                    0.3187488328664801       1083755.4694997561
0.14475369198312235       0                        86853.31180026842
0.14475369198312232       0.0022222222222222166    6184.014241888397
0                         0.32285714285714295      1250031.970383149
5.0E-4                    0.3228571428571431       1293488.2321481693
0.1474857594936709        0                        86853.31180026842
0.1474857594936709        0.0022222222222222166    6183.9881914510215
0                         0.32698412698412704      1463764.9801746728
5.0E-4                    0.3269841269841271       1500302.909195112
0.15023734177215187       0                        86853.31180026842
0.15023734177215192       0.0022222222222222166    6183.96303750363
0                         0.33112978524743236      1669943.9687216398
5.000000000000003E-4      0.3311297852474324       1700931.7347624192
0.15300843881856538       0                        86853.31180026842
0.1530084388185654        0.0022222222222222166    6183.938743528722
0                         0.3352941176470589       1867969.8343974838
5.000000000000001E-4      0.335294117647059        1894177.4151970188
0.15579905063291138       0                        86853.31180026842
0.15579905063291136       0.002222222222222216     6183.915274778719
0                         0.3394771241830066       2058688.3879360752
5.000000000000001E-4      0.3394771241830067       2080182.6235012675
0.15860917721518988       0                        86853.31180026842
0.15860917721518986       0.0022222222222222166    6183.892598193701
0                         0.34367880485527547      2240721.3017139337
5.000000000000002E-4      0.3436788048552756       2256906.841899077
0.16143881856540082       0                        86853.31180026842
0.16143881856540085       0.002222222222222216     6183.870682375737
0                         0.34789915966386553      2410397.4437458036
5.000000000000002E-4      0.34789915966386564      2423639.8183402214
0.1642879746835443        0                        86853.31180026842
0.16428797468354428       0.0022222222222222157    6183.849497465271
0                         0.3521381886087769       2571328.194399288
5.000000000000002E-4      0.35213818860877694      2583153.891990406
0.16715664556962023       0                        86853.31180026842
0.1671566455696202        0.0022222222222222157    6183.829015809706
0                         0.3563958916900094       2726216.6814532247
5.000000000000001E-4      0.35639589169000957      2736267.503304439
0.17004483122362868       0                        86853.31180026842
0.17004483122362873       0.0022222222222222157    6183.809208949888
0                         0.36067226890756304      2876224.968264481
5.000000000000001E-4      0.36067226890756315      2887430.001773463
0.17295253164556962       0                        86853.31180026842
0.17295253164556962       0.0022222222222222157    6183.7900727818
0                         0.36496732026143797      3012597.515362374
5.000000000000001E-4      0.3649673202614381       3022031.3027185127
0.17587974683544302       0                        86853.31180026842
0.17587974683544297       0.0022222222222222153    6183.771407019068
0                         0.369281045751634        3156261.0476975595
5.0E-4                    0.3692810457516342       3166022.9209698043
0.17882647679324895       0                        86853.31180026842
0.17882647679324895       0.0022222222222222153    6183.754262870132
0                         0.3736134453781513       3264728.093928811
5.0E-4                    0.37361344537815144      3271504.9704277213
0.18179272151898734       0                        86853.31180026842
0.1817927215189874        0.0022222222222222153    6183.728501598204
0                         0.3779645191409897       3417339.784397008
5.000000000000002E-4      0.3779645191409899       3427528.2995858174
0.18477848101265823       0                        86853.31180026842
0.18477848101265826       0.0022222222222222144    6183.76943044263
0                         0.38233426704014933      3491168.591362935
5.000000000000001E-4      0.38233426704014944      3499213.057848854
0.18778375527426164       0                        86853.31180026842
0.1877837552742616        0.002222222222222215     6182.987058297875
0                         0.38672268907563023      3663704.453949866
5.000000000000003E-4      0.38672268907563034      3673679.1852648146
0.19080854430379748       0                        86853.31180026842
0.19080854430379746       0.002222222222222215     6188.478853853026
0                         0.3911297852474323       3711143.677963569
5.000000000000003E-4      0.3911297852474324       3716875.425520545
0.19385284810126585       0                        86853.31180026842
0.19385284810126582       0.002222222222222215     6123.560208403035
0                         0.3955555555555556       3882314.199254292
5.000000000000002E-4      0.3955555555555557       3889528.816185151
0.19691666666666666       0                        86853.31180026842
0.19691666666666668       0.0022222222222222144    6657.302320092374
0                         0.4                      3919147.590451964
5.000000000000002E-4      0.4000000000000001       3923474.092697624
0.2                       0                        86853.31180026842
0.2                       0.0022222222222222144    0
9.93589743589743E-4       0.39555555555555555      3895751.7519207504
9.935897435897432E-4      0.4                      3946660.500713388
0.19691666666666668       0.004463118580765625     0
0.2                       0.004463118580765624     5864.916224257338
0.0014807692307692306     0.39555555555555555      3909496.543566628
0.0014807692307692306     0.4                      3976539.546136103
0.19691666666666663       0.006722689075630228     2810.4290134862185
0.2                       0.006722689075630228     0
0.001961538461538461      0.39555555555555555      3933912.843483368
0.0019615384615384607     0.4                      4008606.5497207846
0.19691666666666663       0.00900093370681607      0
0.2                       0.009000933706816072     1987.2189839030955
0.0024358974358974356     0.39555555555555555      3967373.5400103065
0.0024358974358974356     0.4                      4043852.7824526895
0.19691666666666663       0.011297852474323068     1091.245360828901
0.2                       0.011297852474323068     0
0.0029038461538461536     0.39555555555555555      4007764.6252344544
0.002903846153846153      0.4                      4083008.268941387
0.19691666666666668       0.013613445378151219     0
0.2                       0.013613445378151214     1131.0954861654614
0.003365384615384614      0.3955555555555556       4053419.055096741
0.0033653846153846147     0.4                      4125935.5241397414
0.19691666666666668       0.01594771241830068      374.56921990750357
0.2                       0.015947712418300685     0
0.003820512820512819      0.3955555555555555       4103014.874789685
0.0038205128205128194     0.39999999999999997      4172086.569856619
0.19691666666666668       0.018300653594771222     0
0.2                       0.018300653594771222     0
0.004269230769230767      0.3955555555555556       4155465.3805413675
0.004269230769230768      0.4                      4220766.494073956
0.19691666666666663       0.020672268907562998     0
0.2                       0.020672268907562998     0
0.004711538461538461      0.39555555555555555      4209850.025833839
0.004711538461538461      0.4                      4271263.049608457
0.19691666666666668       0.02306255835667601      0
0.2                       0.023062558356676012     105564.97141781046
0.005147435897435897      0.39555555555555566      4265376.711821575
0.005147435897435896      0.4                      4322910.0783164585
0.19691666666666668       0.02547152194211019      0
0.2                       0.02547152194211018      1222333.1546680813
0.005576923076923075      0.3955555555555556       4321364.434932977
0.005576923076923075      0.4                      4375111.371646946
0.19691666666666663       0.02789915966386554      0
0.2                       0.02789915966386554      1035037.450532254
0.006                     0.3955555555555556       4377231.598854497
0.005999999999999999      0.4                      4427351.99684371
0.19691666666666663       0.030345471521942093     0
0.2                       0.030345471521942093     922941.5236782974
